artist,artist_processed,rank,song,year,ID_index,negative,positive,n
sam the sham and the pharaohs,sam the sham and the pharaohs,1,wooly bully,1965,1,0,0,73
four tops,four tops,2,i cant help myself sugar pie honey bunch,1965,2,3,8,192
the rolling stones,the rolling stones,3,i cant get no satisfaction,1965,3,NA,NA,NA
we five,we five,4,you were on my mind,1965,4,10,2,138
the righteous brothers,the righteous brothers,5,youve lost that lovin feelin,1965,5,6,31,225
petula clark,petula clark,6,downtown,1965,6,7,11,227
the beatles,the beatles,7,help,1965,7,1,10,226
hermans hermits,hermans hermits,8,cant you hear my heart beat,1965,8,0,9,210
elvis presley,elvis presley,9,crying in the chapel,1965,9,5,9,129
the temptations,the temptations,10,my girl,1965,10,1,6,152
the beach boys,the beach boys,11,help me rhonda,1965,11,1,5,246
roger miller,roger miller,12,king of the road,1965,12,0,0,156
jewel akens,jewel akens,13,the birds and the bees,1965,13,0,5,204
mel carter,mel carter,14,hold me thrill me kiss me,1965,14,9,27,236
junior walker & the all stars,junior walker,15,shotgun,1965,15,6,1,117
junior walker & the all stars,the all stars,15,shotgun,1965,15,6,1,117
sonny & cher,sonny,16,i got you babe,1965,16,3,7,222
sonny & cher,cher,16,i got you babe,1965,16,3,7,222
gary lewis & the playboys,gary lewis & the playboys,17,this diamond ring,1965,17,0,14,161
ramsey lewis trio,ramsey lewis trio,18,the in crowd,1965,18,NA,NA,NA
hermans hermits,hermans hermits,19,mrs brown youve got a lovely daughter,1965,19,3,16,179
the supremes,the supremes,20,stop in the name of love,1965,20,3,18,223
the righteous brothers,the righteous brothers,21,unchained melody,1965,21,5,9,167
hermans hermits,hermans hermits,22,silhouettes,1965,22,5,6,146
the seekers,the seekers,23,ill never find another you,1965,23,3,6,157
jay and the americans,jay and the americans,24,cara mia,1965,24,0,3,147
the byrds,the byrds,25,mr tambourine man,1965,25,1,7,127
sounds orchestral,sounds orchestral,26,cast your fate to the wind,1965,26,1,2,82
barbara mason,barbara mason,27,yes im ready,1965,27,0,37,184
tom jones,tom jones,28,whats new pussycat,1965,28,0,9,108
barry mcguire,barry mcguire,29,eve of destruction,1965,29,13,9,265
the mccoys,the mccoys,30,hang on sloopy,1965,30,7,9,139
the beatles,the beatles,31,ticket to ride,1965,31,6,12,273
bert kaempfert,bert kaempfert,32,red roses for a blue lady,1965,32,2,12,133
james brown,james brown,33,papas got a brand new bag,1965,33,3,2,105
wayne fontana & the mindbenders,wayne fontana,34,game of love,1965,34,0,33,260
wayne fontana & the mindbenders,the mindbenders,34,game of love,1965,34,0,33,260
shirley ellis,shirley ellis,35,the name game,1965,35,1,8,223
petula clark,petula clark,36,i know a place,1965,36,6,11,265
the supremes,the supremes,37,back in my arms again,1965,37,3,25,222
barbara lewis,barbara lewis,38,baby im yours,1965,38,0,2,143
the kingsmen,the kingsmen,39,the jolly green giant,1965,39,4,7,192
patti page,patti page,40,hush hush sweet charlotte,1965,40,8,14,118
bob dylan,bob dylan,41,like a rolling stone,1965,41,5,17,367
freddie and the dreamers,freddie and the dreamers,42,im telling you now,1965,42,NA,NA,NA
gerry and the pacemakers,gerry and the pacemakers,43,ferry cross the mersey,1965,43,0,7,108
the righteous brothers,the righteous brothers,44,just once in my life,1965,44,1,10,256
johnny rivers,johnny rivers,45,the seventh son,1965,45,NA,NA,NA
hermans hermits,hermans hermits,46,im henery the eighth i am,1965,46,NA,NA,NA
horst jankowski,horst jankowski,47,a walk in the black forest,1965,47,0,12,154
the yardbirds,the yardbirds,48,for your love,1965,48,0,29,160
the beach boys,the beach boys,49,california girls,1965,49,0,7,173
the moody blues,the moody blues,50,go now,1965,50,2,14,172
shirley bassey,shirley bassey,51,goldfinger,1965,51,3,10,124
billy joe royal,billy joe royal,52,down in the boondocks,1965,52,1,10,259
glenn yarbrough,glenn yarbrough,53,baby the rain must fall,1965,53,0,2,92
the dave clark five,the dave clark five,54,catch us if you can,1965,54,1,1,137
the beatles,the beatles,55,eight days a week,1965,55,0,30,205
the beau brummels,the beau brummels,56,just a little,1965,56,4,8,144
ian whitcomb,ian whitcomb,57,you turn me on,1965,57,2,0,134
marvin gaye,marvin gaye,58,ill be doggone,1965,58,0,12,254
gary lewis & the playboys,gary lewis & the playboys,59,save your heart for me,1965,59,1,14,133
the kinks,the kinks,60,tired of waiting for you,1965,60,2,6,168
gary lewis & the playboys,gary lewis & the playboys,61,count me in,1965,61,6,6,162
the kinks,the kinks,62,all day and all of the night,1965,62,0,3,189
jackie deshannon,jackie deshannon,63,what the world needs now is love,1965,63,0,30,194
tom jones,tom jones,64,its not unusual,1965,64,5,6,131
sir douglas quintet,sir douglas quintet,65,shes about a mover,1965,65,0,13,180
sam cooke,sam cooke,66,shake,1965,66,27,6,245
hermans hermits,hermans hermits,67,wonderful world,1965,67,0,14,287
martha and the vandellas,martha and the vandellas,68,nowhere to run,1965,68,2,12,256
the yardbirds,the yardbirds,69,heart full of soul,1965,69,5,8,153
the searchers,the searchers,70,love potion no 9,1965,70,3,13,195
dickey lee,dickey lee,71,laurie strange things happen,1965,71,7,4,169
sonny & cher,sonny,72,baby dont go,1965,72,2,14,156
sonny & cher,cher,72,baby dont go,1965,72,2,14,156
the turtles,the turtles,73,it aint me babe,1965,73,1,4,178
the zombies,the zombies,74,tell her no,1965,74,4,9,172
peter and gordon,peter,75,i go to pieces,1965,75,5,7,212
peter and gordon,gordon,75,i go to pieces,1965,75,5,7,212
vic dana,vic dana,76,red roses for a blue lady,1965,76,2,12,170
patty duke,patty duke,77,dont just stand there,1965,77,5,14,197
the miracles,the miracles,78,the tracks of my tears,1965,78,3,17,176
brenda lee,brenda lee,79,too many rivers,1965,79,3,4,130
the dave clark five,the dave clark five,80,i like it like that,1965,80,1,13,302
bobby goldsboro,bobby goldsboro,81,little things,1965,81,0,16,198
peter and gordon,peter,82,true love ways,1965,82,2,21,78
peter and gordon,gordon,82,true love ways,1965,82,2,21,78
four tops,four tops,83,its the same old song,1965,83,4,11,229
the fortunes,the fortunes,84,youve got your troubles,1965,84,NA,NA,NA
joe tex,joe tex,85,hold what youve got,1965,85,2,5,282
the animals,the animals,86,we gotta get out of this place,1965,86,0,14,397
the beau brummels,the beau brummels,87,laugh laugh,1965,87,10,23,279
the rolling stones,the rolling stones,88,the last time,1965,88,3,10,173
the lovin spoonful,the lovin spoonful,89,do you believe in magic,1965,89,2,12,236
cher,cher,90,all i really want to do,1965,90,4,10,177
little anthony and the imperials,little anthony and the imperials,91,take me back,1965,91,9,6,162
the strangeloves,the strangeloves,92,i want candy,1965,92,0,5,122
the miracles,the miracles,93,ooo baby baby,1965,93,7,3,112
sonny bono,sonny bono,94,laugh at me,1965,94,1,9,177
roy head,roy head,95,treat her right,1965,95,0,12,99
jack jones,jack jones,96,the race is on,1965,96,13,14,223
dino desi & billy,dino desi & billy,97,im a fool,1965,97,NA,NA,NA
the ad libs,the ad libs,98,the boy from new york city,1965,98,0,9,219
del shannon,del shannon,99,keep searchin well follow the sun,1965,99,2,3,113
marvin gaye,marvin gaye,100,how sweet it is to be loved by you,1965,100,1,33,249
ssgt barry sadler,ssgt barry sadler,1,ballad of the green berets,1966,101,NA,NA,NA
the association,the association,2,cherish,1966,102,0,16,312
the righteous brothers,the righteous brothers,3,youre my soul and inspiration,1966,103,1,14,209
the four tops,the four tops,4,reach out ill be there,1966,104,4,17,246
the mysterians,the mysterians,5,96 tears,1966,105,30,1,197
the monkees,the monkees,6,last train to clarksville,1966,106,1,3,217
the mamas & the papas,the mamas & the papas,7,monday monday,1966,107,2,6,200
the supremes,the supremes,8,you cant hurry love,1966,108,1,28,302
johnny rivers,johnny rivers,9,poor side of town,1966,109,2,5,181
the mamas & the papas,the mamas & the papas,10,california dreamin,1966,110,0,4,118
lovin spoonful,lovin spoonful,11,summer in the city,1966,111,5,7,252
roger williams,roger williams,12,born free,1966,112,0,13,77
nancy sinatra,nancy sinatra,13,these boots are made for walkin,1966,113,2,4,162
jimmy ruffin,jimmy ruffin,14,what becomes of the brokenhearted,1966,114,8,18,217
frank sinatra,frank sinatra,15,strangers in the night,1966,115,5,11,137
the beatles,the beatles,16,we can work it out,1966,116,6,4,240
the young rascals,the young rascals,17,good lovin,1966,117,1,65,180
new vaudeville band,new vaudeville band,18,winchester cathedral,1966,118,0,0,61
tommy james and the shondells,tommy james,19,hanky panky,1966,119,0,1,80
tommy james and the shondells,the shondells,19,hanky panky,1966,119,0,1,80
percy sledge,percy sledge,20,when a man loves a woman,1966,120,5,17,179
the rolling stones,the rolling stones,21,paint it black,1966,121,0,5,237
petula clark,petula clark,22,my love,1966,122,1,18,245
lou christie,lou christie,23,lightnin strikes,1966,123,2,4,219
the troggs,the troggs,24,wild thing,1966,124,0,4,86
paul revere & the raiders,paul revere & the raiders,25,kicks,1966,125,1,15,258
donovan,donovan,26,sunshine superman,1966,126,2,6,215
bobby hebb,bobby hebb,27,sunny,1966,127,1,37,161
the beatles,the beatles,28,paperback writer,1966,128,0,3,186
the happenings,the happenings,29,see you in september,1966,129,4,6,192
the supremes,the supremes,30,you keep me hangin on,1966,130,1,15,270
sam the sham and the pharaohs,sam the sham and the pharaohs,31,lil red riding hood,1966,131,7,13,234
mitch ryder & the detroit wheels,mitch ryder,32,devil with a blue dress ongood golly miss molly,1966,132,NA,NA,NA
mitch ryder & the detroit wheels,the detroit wheels,32,devil with a blue dress ongood golly miss molly,1966,132,NA,NA,NA
the beach boys,the beach boys,33,good vibrations,1966,133,0,58,279
the mindbenders,the mindbenders,34,a groovy kind of love,1966,134,0,17,165
dusty springfield,dusty springfield,35,you dont have to say you love me,1966,135,1,4,157
the capitols,the capitols,36,cool jerk,1966,136,18,21,286
sandy posey,sandy posey,37,born a woman,1966,137,5,7,117
the cyrkle,the cyrkle,38,red rubber ball,1966,138,5,8,220
